WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02461528,"Anchoring device for plants",1975-10-03,1977-10-25,"Emil Thomas Luoma","",D1102;D0808,D188654;D215320;D224893;2730325;3494072;3805340,"The ornamental design for an anchoring device for plants, as shown anddescribed."
D02461536,"Contoured grading rake",1976-09-15,1977-10-25,"Charles J. Insalaco","",D0805,D198699;678519;1181266;2119165;2479877,"The ornamental design for a contour grading rake, substantially as shownand described."
D02461544,"Combined letter opener and key holder",1976-01-07,1977-10-25,"Chak-Pui Tsang","",D0301,D44524;D133302;D194859;D201016;D235584,"The ornamental design for a combined letter opener and key holder,substantially as shown and described."
D02461552,"Squeeze bottle or the like",1976-05-04,1977-10-25,"Earl Hoyt","",D0901,D29171;D168851;D184020;D219204;D241884;3395836,"The ornamental design for a squeeze bottle or the like, substantially asshown and described."
D02461560,"Combined bottle and cap therefor",1975-05-02,1977-10-25,"Ralph A. Muscatiello;Kent M. Wright","The Gillette Company",D0901,D196390;D198817;D214723;D224701;D226168;3163337,"The ornamental design for a combined bottle and cap therefor, substantiallyas shown and described."
D02461579,"End closure for a container",1976-03-01,1977-10-25,"Max G. Kocour;Arthur P. Zundel","National Can Corporation",D0907,D221736;D229396;D242130;D243157;3401823;3480175;3795342,"The ornamental design for an end closure for a container, substantially asshown and described."
D02461587,"Digital clock",1976-03-01,1977-10-25,"Andrew Durco, Jr.","Mostek Corporation",D1001,D14392;D76595;D107079;D219109;D230194;D230623;D232526;2202581,"The ornamental design for a digital clock, as shown."
D02461595,"Lighting and appliance timer",1975-10-06,1977-10-25,"Robert Podall","AMF Incorporated",D1003,D103838;D104013;D234215;3581027;3925629,"The ornamental design for a lighting and appliance timer, as shown."
D02461609,"Reflector",1976-03-22,1977-10-25,"Robert A. Lattie","",D1006,D238257;2642777;3758190,"The ornamental design for a reflector, as shown and described."
D02461617,"Reflector",1976-06-25,1977-10-25,"Henry Lindner","Beatrice Foods Co.",D1006,D213474;D226785;2029375,"The ornamental design for a reflector, substantially as shown."
D02461625,"Reflector",1976-06-25,1977-10-25,"Henry Lindner","Beatrice Foods Co.",D1006,D226785;1795952;2703773;3532876,"The ornamental design for a reflector, substantially as shown."
D02461633,"Reflector",1976-06-25,1977-10-25,"Henry Lindner","Beatrice Foods Co.",D1006,D226785;1795952;3532876,"The ornamental design for a reflector, substantially as shown."
D02461641,"Electronic watch",1975-09-05,1977-10-25,"Dale R. Koehler","Bulova Watch Company, Inc.",D1007,D178771;D183732,"The ornamental design for an electronic watch, substantially as shown."
D02461650,"Cart",1976-11-17,1977-10-25,"Stephen A. Bacskay;Sidney Messeri","Outlook in Plastics Corporation, Inc.;Tingue, Brown & Co.",D1202,D213360;D235636;2761568,"The ornamental design of a cart, substantially as shown and described."
D02461668,"Boat hull",1976-03-08,1977-10-25,"Robert P. Meek","",D1206,3077172;3162167;3303809,"The ornamental design for boat hull, as shown and described."
D02461676,"Tool for digging and laying of submarine cable",1976-10-22,1977-10-25,"Stig Ture Carlsson;Viktor Scuka;Bo Magnus Rasmusson","Telefonaktiebolaget L M Ericsson",D1299,D168999;D235422;3982403,"The ornamental design for a tool for digging and laying of submarine cable,as shown."
D02461684,"Man powered airplane",1976-05-17,1977-10-25,"Donald S. Landrus","",D1207,D160685;2316885;3750981,"The ornamental design for a man powered airplane, as shown and described."
D02461692,"Vending vehicle body for selling and dispensing frozen deserts or the",1974-06-21,1977-10-25,"Gary Spencer","",D1208,D184037;D193611;D194589;D206528,"The ornamental design for a vending vehicle body for selling and dispensingfrozen deserts or the like, as shown and described."
D02461706,"Bicycle cowling",1976-04-12,1977-10-25,"Michael E. Powers","",D1211,,"The ornamental design for a bicycle cowling, as shown."
D02461714,"Bicycle",1976-06-07,1977-10-25,"Jackie L. Dodd","",D1211,D236803;2482472;3753577;3945667,"The ornamental design for a bicycle, as shown."
D02461722,"Wheel for motor-cycles",1976-05-25,1977-10-25,"Tullio Campagnolo","",D1216,D239272,"The ornamental design for a wheel for motor-cycles, as shown."
D02461730,"Control unit for electronic neural stimulator",1976-01-19,1977-10-25,"Kenneth M. Levin","",D1303;D2402,D240463,"The ornamental design for a control unit for electronic neural stimulator,as shown and described."
D02461749,"Speaker enclosures",1976-10-07,1977-10-25,"Timothy L. Griffin, Jr.","",D1401,D230993;D231992;D234273;D240085,"A new and ornamental design for speaker enclosures."
D02461757,"Headphone apparatus",1976-01-12,1977-10-25,"Gary Adam Stubelick","",D1403,D222361;D222547;D229833;2782423,"The ornamental design for a headphone apparatus, as shown."
D02461765,"Adapter for corner shaped tooth for excavating, digging or bucket",1975-12-15,1977-10-25,"Sten Johan Dahlberg;Jouko Kalevi Korpi;Ulf Robert Larsson","AB Bofors",D1504,D207449;3967398,"The ornamental design for a combined adapter and cutter edge unit forcorner shaped tooth for excavating, digging or bucket loading equipment,as shown."
D02461773,"Disk clamping element",1976-03-10,1977-10-25,"Warren L. Dalziel","Shugart Associates",D1402,2636690;3609722;3678481;3898814,"The ornamental design for a disk clamping element, substantially as shownand described."
D02461781,"Closure and bezel for disk recorders and the like",1975-12-12,1977-10-25,"Otto R. Butsch","Sycor, Inc.",D1402,D198567;3593327;3770907;3815150,"The ornamental design for a closure and bezel for disk recorders and thelike, substantially as shown and described."
D02461790,"Electric ice-cream freezer",1976-10-20,1977-10-25,"Andre Faivre","S E B",D1502,D168433;D188078;1999794;2850268,"The ornamental design for an electric ice-cream freezer, as shown anddescribed."
D02461803,"Cabinet bulletin board",1975-12-11,1977-10-25,"Loretta H. Yamauchi","",D1907,D228132;3659355,"The ornamental design for a cabinet bulletin board, as shown and described."
D02461811,"Fishing rod handle",1976-07-28,1977-10-25,"Thomas E. Sweeney","",D2205,D156360;D162256;1898323;3803745,"The ornamental design for a fishing rod handle, substantially as shown."
D02461820,"Diving sinker",1976-11-10,1977-10-25,"Joseph F. Neary","Troller Corporation",D2205,D223448;3568355;3643370;3839813;3898759,"The ornamental design for a diving sinker, as shown."
D02461838,"Sprinkler standard",1976-03-29,1977-10-25,"Robert Donald Keen","",D2301,D149912;D175849;897787;1447579;1470639;1743537;2323701;2631061;2852307;2956762;3198465,"The ornamental design for a sprinkler standard, as shown and described."
D02461846,"Boat for carrying articles into and out of furnaces",1976-03-26,1977-10-25,"John Kudla","Codi Corporation",D2303,390844;2511068;3091014;3737282,"The ornamental design for boat for carrying articles into and out offurnaces, as shown and described."
D02461854,"Air freshener or the like",1976-10-18,1977-10-25,"Francis Edward Husband Bradburne","",D2304,D230599;D238674;D243017,"The ornamental design for an air freshener or the like, as shown anddescribed."
D02461862,"Ophthalmic support stand",1976-09-02,1977-10-25,"Dale A. Rorabaugh","Surgical Mechanical Research, Inc.",D2401,D235580;2510624;3572913;3828695,"The ornamental design for a ophthalmic support stand, as shown."
D02461870,"Double syringe",1975-11-10,1977-10-25,"Samuel W. DeArment","",D2402,3467096;3507276;3526225;3552394;3952919,"The ornamental design for a double syringe, as shown."
D02461889,"Ophthalmometer or similar article",1976-09-13,1977-10-25,"Paul A. Jordan","Bausch & Lomb Incorporated",D2402,3436146;3583794;3776620;3791720;3827789;3883233;3984156,"The ornamental design for an ophthalmometer or similar article,substantially as illustrated and described."
D02461897,"Electroauricular therapy probe",1975-09-24,1977-10-25,"Harold E. Smith","",D2402,D232325;D241475;2032859;2321356;3295513;3757769;3833115;3882848,"The ornamental design for an electroauricular therapy probe, as shown anddescribed."
D02461900,"Hepatic occlusion clamp",1976-02-26,1977-10-25,"Joseph Hodge","Pilling Co.",D2402;D0802,D229724;D231034;2743726;3459187;3515139;3746002,"The ornamental design of the hepatic occlusion clamp, substantially asshown and described."
D02461919,"Swab dispenser",1975-12-02,1977-10-25,"John A. Russo;David E. Ham;Jean Pierre Vitrac","Chesebrough-Pond s Inc.",D2402,2965429;3010670;3207566;3239295,"The ornamental design for swab dispenser, as shown and described."
D02461927,"Building for dispensing ice cream",1976-07-12,1977-10-25,"Harold D. Albright, Jr.","",D2503,D88957;D205351;D235594,"The ornamental design for a building for dispensing ice cream,substantially as shown."
D02461935,"Building",1976-09-02,1977-10-25,"Sandra Lee Reckwald","",D2503,D224736;1932554,"The ornamental design for a building, as shown and described."
D02461943,"Aquarium cover",1976-09-28,1977-10-25,"Scott P. Akers","",D3002,D83044;D176905;D184905;D210601;D231786;1860698;3327686,"The ornamental design for an aquarium cover, substantially as shown."
D02461951,"Boy doll",1976-01-23,1977-10-25,"Adolph E. Goldfarb;Erwin Benkoe;Delmar K. Everitt;Ronald F. Chesley;Richard D. Frierdich","Adolph E. Goldfarb;Erwin Benkoe",D2101,D45873;D224240,"The ornamental design for a boy doll, as shown."
D02461960,"Toy racing trackway",1975-11-05,1977-10-25,"Toshio Suzuki","Tomy Kogyo Co., Inc.",D2101,D203937;D233620;1493649;2992598,"The ornamental design for a toy racing trackway, as shown."
D02461978,"Stylized boxing game apparatus, or similar article",1975-07-24,1977-10-25,"Tetsuo Iwanami","Sanyei Corporation",D2101,1552530;3672095;3815911,"The ornamental design for stylized boxing game apparatus, or similararticle, substantially as shown and described."
D02461986,"Coaster",1976-04-13,1977-10-25,"Douglas H. Rose","",D2101,D222283,"The ornamental design for a coaster, substantially as shown and described."
D02461994,"Articulated toy figure",1976-05-17,1977-10-25,"Iwakichi Ogawa","Takara Co., Ltd.",D2101,D137551;D197288;D239961,"The ornamental design for a toy articulated figure, substantially as shownand described."
D02462001,"Articulated toy figure",1976-05-17,1977-10-25,"Iwakichi Ogawa","Takara Co., Ltd.",D2101,D197288;D239961,"The ornamental design for a toy articulated figure, substantially as shownand described."
D02462010,"Articulated toy figure",1976-05-17,1977-10-25,"Iwakichi Ogawa","Takara Co., Ltd.",D2101,D137551;D197288;D239961,"The ornamental design for a toy articulated figure, substantially as shownand described."
D02462028,"Animation lamp",1975-06-17,1977-10-25,"Henry J. Oppermann","",D2605,D74848;D199141,"The ornamental design for an animation lamp, as shown."
D02462036,"Lighting panel",1976-04-26,1977-10-25,"Edward H. Harris","",D2605,520223;2511764;3215039,"The ornamental design for a ceiling mounted lighting panel, as shown anddescribed."
D02462044,"Book binding machine",1975-10-28,1977-10-25,"James G. Balmer;Peter E. Linder","Velo-Bind, Inc.",D1804,3060780;3879785;3967336,"The ornamental design for a book binding machine, as shown and described."
D02462052,"Combined wallet and calculator",1975-09-16,1977-10-25,"Peter Howard Lewis","",D0301,D196099;D202859;D208614;D216173;D227770;D241381,"The ornamental design for a combined wallet and calculator, substantiallyas shown and described."
PP0041327,"Walnut tree",1977-01-04,1977-10-25,"Olan R. Genn","Olan R. Genn;Fern F. Genn",A01H  503,,"I claim:1. A new and distinct variety of English walnut tree, substantially asillustrated and described, which is of medium size, vigorous, spreadingdensely foliated with large, early season, elliptic leaves, very early andabundant in flowering, and a regular, very early bearer, with mediumproductivity, of small, round, uniform, thin and soft-shelled,well-sealed, well-filled nuts having relatively large, plump kernels, thenuts--which drop off early--having hulls which often split so that thenuts drop free; the tree being especially characterized by its resistanceto extreme cold without serious damage."
PP0041335,"Chrysanthemum",1976-10-26,1977-10-25,"Norman Mock","",A01H  500,,"I claim:1. A new and distinct cultivar of chrysanthemum, substantially as describedand pictured herein, characterized by its very large velvety yellowblooms, vigorous growth and 9 week response."
PP0041343,"Chrysanthemum",1976-10-26,1977-10-25,"Norman Mock","",A01H  500,,"I claim:1. A new and distinct cultivar of chrysanthemum characterized particularlyin uniqueness when compared to the parent cultivar Red Rover by its deeperred petal coloration, shorter petals, increased resistance to fading,smaller blooms and greater convexity of the individual petals."
PP0041351,"Chrysanthemum",1976-10-26,1977-10-25,"Norman Mock","",A01H  500,,"I claim:1. A new and distinct cultivar of chrysanthemum, substantially as describedand pictured herein, characterized by its velvety yellow blooms, vigorousgrowth, 9 week response and persistence."
PP0041360,"Coleonema pulchrum plant",1976-09-08,1977-10-25,"Juris Edgar Schutz;Murdoch Niall McIntosh","Juris E. Schutz, by said Murdoch N. McIntosh;Solveiga M. Schutz;Peteris Kepitis;Elga Kepitis, by said Juris E. Schutz",A01H  500,,"We claim:1. A new and distinct cultivar of Coleonema pulchrum referred to by thecultivar name Sunset Gold and particularly characterized as to uniquenessby its dwarf growth form, golden color foliage and its generally pinkflower color."
PP0041378,"Chrysanthemum named Imperial Yellow",1977-01-10,1977-10-25,"Takaaki Peter Kashima","",A01H  500,,"I claim:1. A new and distinct variety of chrysanthemum plant, substantially asherein shown and described, characterized by the large size of its bloomsand their light yellow coloration, the greater plant height and theincreased size, strength and length of its stems."
RE0294527,"Headwear construction",1974-12-30,1977-10-25,"Charles E. Townsend, Jr.","",A42B  118,1996254;2302226;3112184;3169251;3447163;3773614,"What is claimed is: .[.1.  A headwear construction so adapted as to continually deflect solarrays, yet provide maximum ventilation, comprising a continuous crownsection of open celled honeycomb material having a compound curvature,each cell thereof hving a substantially equal cross-sectional dimension,the axes of adjacent individual cells diverging relative to one another toobliquely intersect said solar rays over the majority of the total crownarea at any given moment, said open celled honeycomb material comprising acontinuous elongate flat strip and a continuous elongate corrugated stripspirally wound together to form the continuous curved surface of saidcrown..]. .[.2. The headwear according to claim 1 wherein each of saidaxes are substantially perpendicular to that segment of the wearer s skullto which they are respectively contiguous..]. .[.3. The headwear accordingto claim 2, wherein the length of the side walls of said honeycomb is atleast equal to the nominal diameter of the cells to limit the angle oftransmittal of said cells, so that said solar rays will be deflected atany given instant..]. .[.4. The headwear according to claim 3 wherein theangle of transmittal .theta. of each said cell is less than about45.degree. as determined by the following equation: tan (90.degree. -.theta.) = d/w, wherein w is the nominal diameter of said cells and d isthe thickness of said cells..]. .[.5. The headwear of claim 1 wherein saidopen cell honeycomb material is contoured to define an arcuately shapedcrown..]. .[.6. The headwear covering of claim 5 wherein the cumulativecross-sectional area of the open cell areas of the crown is at least about90 percent..]. .[.7.  The headwear of claim 1 wherein the thickness of thehoneycomb measured in the direction of the cell axes and the nominaldiameter of the cells are related to one another to limit the angle ofincidence through which direct overhead sunrays can be transmitted throughany given cell; the cumulative cross-sectional open cell areas of thecrown amounting to at least 90 percent of the total surface area of thecrown; the radius of curvature of the arcuately contoured honeycombsection being sufficiently tight to establish a progressive divergence ofangularity between adjacent cell axes whereby to limit direct sunraytransmittal through the crown to a minor fractional area thereof at anygiven instant..]. .[.8.  The headwear construction of claim 7 wherein theangle of incidence through which direct overhead sunrays can betransmitted is limited to an angle not substantially exceeding45.degree...]. .[.9. The headwear of claim 7 so adapted as to deflectsolar rays yet provide maximum ventilation wherein each cell of thehoneycomb has a predetermined angle of sunlight transmitted (.theta.),said angle being a function of the ratio of cell thickness (d) to cellwidth (w) of each cell at its widest space as follows:d/w = tan (90.degree. - .theta.) ,   .theta.&lt;45.degree...]. .Iadd.10. Aheadwear construction having a shaped crown comprising an arcuatelycontoured section of cellular honeycomb having compound curvature anddisposed with the axes of its opened cells extending radiallytherethrough; each cell of said honeycomb having a substantially equalcross-sectional dimension; the thickness of the honeycomb measured in thedirection of the cell axes and the nominal diameter of the cells beingrelated to one another to limit the angle of incidence through whichoverhead sunrays can be transmitted through any given cell; the cumulativecross-sectional open cell areas of the crown amounting to at least 90percent of the total surface area of the crown; the radius of curvature ofthe arcuately contoured honeycomb section in each compound direction beingsufficiently tight to establish a progressive divergence of angularitybetween adjacent cell axes in each said direction whereby to limit directsunray transmittal through the crown to a minor fractional area thereof atany given instant..Iaddend."
RE0294535,"Drainage bag for human body",1976-10-06,1977-10-25,"Rosemary B. Weddle","Marsan Manufacturing Company, Inc.",A61F  544,2595934;2684676;2788785;3421505;3897780,"What is claimed is:1. A drainage bag for attaching around a drainage opening in the human bodyand to be worn adjacent the skin comprising:a soft layer of the peripheral dimensions of the drainage bag and having anopening therein,a back plastic layer of the peripheral dimensions of the drainage bag andhaving an opening therein affixed to said soft layer to be coextensivetherewith and having its opening coaxial with said soft layer opening,a front plastic layer of the peripheral dimensions of the drainage bag andsealed about its periphery to said back plastic layer on the side of saidback plastic layer not .[.laminated.]. .Iadd.affixed .Iaddend.to said softlayer,.[.a front plastic layer of the peripheral dimensions of the drainage bagand sealed about its periphery to said back plastic layer on the side ofsaid back plastic layer not laminated to said soft layer,.].a sealing washer on the back side of said drainage bag having an openingtherein, anda seal between the area surrounding said seal washer opening and the areasurrounding said back plastic layer opening.2. The drainage bag of claim 1 wherein said sealing washer has an adhesivelayer means applied thereto for affixing said bag to the human body andwherein said adhesive layer means is protected until use by a peel-offlayer which may be readily peeled from the adhesive layer means withoutany substantial amount of adhesive coming with it.3. The drainage bag of claim 2 wherein said adhesive layer means includesan adhesive carrier layer which has a layer of adhesive on each sidethereof with one layer of adhesive mounted to said sealing washer and theother adhesive layer adapted for adhering to the skin.4. The drainage bag of claim 1 wherein said bag has a foot and ankle shapewith the ankle area containing the opening to fit over a stoma and a footportion containing the drainage holding area, a heel portion, a bottomportion and a toe portion, located in said foot portion, with said heelportion located substantially directly below said ankle portion and saidbottom portion and toe portion extending in a direction that when thedrainage bag is worn, they extend to the side of the wearer and away fromthe center of the wearer s torso with the bottom portion being supportableby a tight leg band of common underpants, and a recloseable openinglocated in said toe portion for periodic draining of said bag for reusewithout removing said bag from the wearer.5. The drainage bag of claim 4 wherein said recloseable opening is locatedat the bottom of said toe portion and includes a flat female unobstructeddrain sealed to said bag and a removeable male plug for stoppering saiddrain.6. The drainage bag of claim 5 wherein said removable male plug has a flatturning handle portion, bayonet lugs and locking dimples and said femaledrain has complementary bayonet lug receiving means and dimple receivingrecesses whereby said plug may be inserted into said drain and rotated andlocked in place.7. The drainage bag of claim 4 wherein said recloseable opening is locatedat the top of said toe portion whereby no leaking will occur in normal usein event of an imperfect seal of said opening and whereby said bag may beemptied of its contents without being removed from the wearer by foldingdown along a diagonal fold so the opening is in a lowered position belowthe normal position of said bottom portion of said bag.8. The drainage bag of claim 7 werein said recloseable opening is sealed bya plastic zipper.9. The drainage bag of claim 4 wherein said sealing washer has an adhesivelayer means applied thereto for affixing said bag to the human body andwherein said adhesive layer means is protected until use by a peel-offlayer which may be readily peeled from the adhesive layer means withoutany substantial amount of adhesive coming with it.10. The drainage bag of claim 9 wherein said adhesive layer means includesan adhesive carrier layer which has a layer of adhesive on each sidethereof with one layer of adhesive adhering to said sealing washer and theother adhesive layer adapted for adhering to the skin. .Iadd.11. Adrainage bag for attaching around a drainage opening in the human body andto be worn adjacent the skin comprising:a soft layer of thermoplastic material of the peripheral dimensions of thedrainage bag and having an opening therein,a back plastic layer of the peripheral dimensions of the drainage bag andhaving an opening therein affixed to said soft layer to be coextensivetherewith and having its opening coaxial with said soft layer opening,a front plastic layer of the peripheral dimensions of the drainage bag andsealed about its periphery to said back plastic layer on the side of saidback plastic layer not affixed to said soft layer,a sealing washer on the back side of said drainage bag having an openingtherein, anda seal between the area surrounding said seal washer opening and the areasurrounding said back plastic layer opening. .Iaddend..Iadd.12. Thedrainage bag of claim 11 wherein said soft layer is affixed to said backplastic layer by a heat seal. .Iaddend..Iadd.13. The drainage bag of claim12 wherein said heat seal is at the periphery of said layers..Iaddend..Iadd.14. The drainage bag of claim 11 wherein said sealingwasher is of plastic material. .Iaddend. .Iadd.15. The drainage bag ofclaim 14 wherein said seal between the area surrounding said seal washeropening and the area surrounding said back plastic layer opening is a heatseal and affixes said soft layer to said back plastic layer..Iaddend."
RE0294543,"Method for producing a gradient elution",1976-02-20,1977-10-25,"Howard L. Ashmead;Sydnor H. Byrne, Jr.;John P. Wolf, III","E. I. Du Pont de Nemours and Company",B01D 1508,2770248;3251508;3270812;3381699;3446057;3613729,"What is claimed is:1. A method of producing an eluent containing a time varying concentrationof two liquids, comprising the steps of:a. supplying a first liquid to a first operative portion of normally closedvalving means;b. supplying a second liquid to a second operative portion of said normallyclosed valving means;c. alternately activating said first operative portion of said valvingmeans for a first set period of time to allow a first set volume of saidfirst liquid to enter a mixing region and then activating said secondoperative portion of said valving means for a second set period of time toallow a second set volume of said second liquid to enter said mixingregion and mix with said first set volume of first liquid to form amixture containing a set concentration of said first and secondliquids.Iadd., said first and second set periods of time being such thatthe volume of said first and second liquid entering said mixing regionduring each period when either operative portion of said valving means isactivated is less than the volume of said mixing region; .Iaddend.d. allowing a portion of said mixture to leave said mixing region therebyproducing an eluent having a concentration of said first and secondliquid, the instantaneous concentration of which is equal to theinstantaneous concentration of said first and second liquids at thedownstream end of said mixing region at the time said portion of saidmixture leaves said mixing region; ande. varying said first and second set periods of time during which saidfirst and second operative portions of said valving means are respectivelyactivated, whereby the concentrations of said first and second liquids insaid mixture are gradually changed so that an eluent having a time varyingconcentration of said first and second liquids is produced.2. The method of claim 1 wherein the step of supplying a first liquid tothe first operative portion of the valve means is accomplished by pumpinga first quantity of the first liquid directly to the first operativeportion of the valve means, and the step of supplying a second liquid tothe second operative portion of the valving means is accomplished bytransferring a quantity of the second liquid to a long narrow holdingchamber and then pumping the second liquid contained in the holding tubeto the second operative portion of the valving means by pumping a secondquantity of the first liquid to the upstream side of the holding tube.3. The method of claim 1 wherein the first and second liquids are suppliedto the first and second operative portions of the valving means at aconstant pressure."
RE0294551,"Hay baler trailer",1975-11-28,1977-10-25,"Darrell E. Slayton","Dale E. Slayton",B62D 2104,RE23848;1127130;3148781;3189387;3208612;3319975;3413014;3421644,"I claim: .[.1. A hay bale trailer comprising,an elongated longitudinally extending frame member,an axle having wheels at opposite ends supportingly engaging said framemember intermediate its ends, andtwo pairs of bale supports extending laterally in opposite directionoutwardly from said frame on opposite sides thereof, one of said pairsbeing positioned forwardly of said wheels and the other pair of balesupports being positioned rearwardly thereof..]. .[.2. The structure ofclaim 1 wherein each of said bale supports includes two finger members inspaced apart parallel relationship extending laterally from said framemember..]. .[.3. The structure of claim 2 wherein an upstanding post isprovided on said frame member between each of said pair of supports toseparate bales of hay on said supports..]. .[.4. The structure of claim 3wherein said upstanding posts are telescopic to vary the heightthereof..]. .[.5. The structure of claim 2 wherein said two finger membersare spaced apart such that a pair of lift fork fingers can straddle saidbale support while unloading bales onto said bale supports by lowering ofthe bale into the support while the lift fork fingers move below the balesupport..].  6.  The structure of claim .[.5.]. .Iadd.11 .Iaddend.whereinsaid bale supports are further defined as being cantilivered to said framemember. 7.  The structure of claim 6 wherein one end of said trailer isprovided with tongue and the other end is provided with a hitch plate forconnecting another trailer thereto. 8.  The structure of claim .[.5.]..Iadd.11.Iaddend.wherein said trailer is supported only by said wheels onsaid axle such that said trailer is pivotable about an axis through saidaxle. .Iadd.9. The structure of claim 8 and a second pair of bale supportsextend laterally in opposite directions outwardly from said frame onopposite sides thereof, and said first and second pair of supports arepositioned on opposite sides of said axle..Iaddend. .Iadd.10. A hay baletrailer comprising,an elongated longitudinally extending frame member,an axle having wheels at opposite ends supportingly engaging said framemember intermediate its ends,a pair of bale supports extending laterally in opposite direction outwardlyfrom said frame on opposite sides thereof, each of said bale supportsincluding two finger members in spaced apart parallel relationshipextending laterally from said frame member, anda telescopic upstanding post on said frame member between each of said pairof supports to separate bales of hay on said supports, said upstandingposts are telescopic to vary the height thereof..Iaddend..Iadd.11. A haybale trailer comprising,an elongated longitudinally extending frame member,an axle having wheels at opposite ends supportingly engaging said framemember intermediate its ends, anda pair of bale supports extending laterally in opposite direction outwardlyfrom said frame on opposite sides thereof, each of said bale supportsincluding two finger members in spaced apart parallel relationshipextending laterally from said frame member, said two finger members beingspaced apart such that a pair of lift fork fingers can straddle said balesupport while unloading bales onto said bale supports by lowering of thebale into the support while the lift fork fingers move below the balesupport..Iaddend. .Iadd.12. A hay bale trailer comprising,an elongated longitudinally extending frame member having forward andrearward ends,an axle having wheels at opposite ends supportingly engaging said framemember intermediate its ends,a pair of bale supports extending laterally in opposite directionsoutwardly from said frame on opposite sides thereof and longitudinallyspaced from said axle and wheels, each of said supports havinglongitudinally spaced forward and rear hay support members extendingtransversely of said frame and each of said members having a transverselyextending open area adjacent one side and extending substantially thelength thereof whereby a fork having a pair of spaced apart teeth mayregister with said support members in side-by-side relationship therewithand move vertically above and below the plane of said support memberswithout engaging an obstruction when loading or unloading hay onto each ofsaid supports, andan upstanding stop means on said frame member between the bale supports ofsaid pair of supports to separate bales of hay on saidsupports..Iaddend..Iadd.13. The structure of claim 12 wherein said openareas are on the outer rear and forwardmost sides of said supportmembers..Iaddend..Iadd.14.  The structure of claim 12 wherein said supportmembers are connected at their inner ends to said frame member andinterconnected at their outer ends by a longitudinally extending frameportion..Iaddend..Iadd.15.  The structure of claim 14 wherein saidupstanding posts are telescopic to vary the heightthereof..Iaddend..Iadd.16. The structure of claim 15 wherein said balesupports are further defined as being cantilivered to said framemember..Iaddend..Iadd.17. The structure of claim 12 wherein one end ofsaid trailer is provided with tongue and the other end is provided with ahitch plate for connecting another trailer thereto..Iaddend..Iadd.18. Thestructure of claim 12 wherein said trailer is supported only by saidwheels on said axle such that said trailer is pivotable about an axisthrough said axle..Iaddend..Iadd.19. The structure of claim 12 whereinsaid frame includes a second pair of bale supports extending laterally inopposite directions outwardly from said frame on opposite sidesthereof..Iaddend..Iadd.20. The structure of claim 19 wherein one of saidpairs of supports are positioned forwardly of said wheels and the otherpair of bale supports are positioned rearwardly thereof..Iaddend."
