WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02464233,"Ring pull",1977-01-13,1977-11-22,"Keith E. Ridgway;Edward W. Scott","Ajax Hardware Corporation",D0806,D220935,"The ornamental design for a ring pull, substantially as shown."
D02464241,"Pull",1976-12-01,1977-11-22,"LaVerne E. Clayton","Amerock Corporation",D0806,,"The ornamental design for a pull, as shown."
D02464250,"Pull",1976-12-08,1977-11-22,"Leland George Stone","Amerock Corporation",D0806,D187261;D208971,"The ornamental design for a pull, as shown."
D02464268,"Pull for doors, drawers or the like",1977-01-13,1977-11-22,"Keith E. Ridgway;Edward W. Scott","Ajax Hardware Corporation",D0806,,"The ornamental design for a pull for doors, drawers or the like,substantially as shown."
D02464276,"Pull",1977-01-13,1977-11-22,"Keith E. Ridgway;Edward W. Scott","Ajax Hardware Corporation",D0806,D187261;D208971;D220935,"The ornamental design for a pull, substantially as shown and described."
D02464284,"Pull",1977-02-16,1977-11-22,"Jacqueline Brezney","Unican Security Systems, Ltd.",D0806,D210117;D216077;2306844,"The ornamental design for a pull, as shown and described."
D02464292,"Pendant pull for doors, drawers or the like",1976-03-29,1977-11-22,"David F. James","Norris Industries, Inc.",D0806,,"The ornamental design for a pendant pull for doors, drawers or the like, asshown and described."
D02464306,"Hinge leaf",1976-03-29,1977-11-22,"David F. James","Norris Industries, Inc.",D0806,D202544;D217846;D235847,"The ornamental design for a hinge leaf, as shown and described."
D02464314,"Hinge base",1976-12-01,1977-11-22,"LaVerne E. Clayton","Amerock Corporation",D0806,D191196;D209387;D235847,"The ornamental design for a hinge base, as shown."
D02464322,"Keyhole escutcheon",1976-12-01,1977-11-22,"Raymond U. H. Tegner","Amerock Corporation",D0809,D6614,"The ornamental design for a keyhole escutcheon, as shown."
D02464330,"Keyhole escutcheon",1976-12-01,1977-11-22,"Raymond U. H. Tegner","Amerock Corporation",D0809,D6614,"The ornamental design for a keyhole escutcheon, as shown."
D02464349,"Pull backplate",1977-01-13,1977-11-22,"Keith E. Ridgway;Edward W. Scott","Ajax Hardware Corporation",D0809,D182608;D207701,"The ornamental design for a pull backplate, substantially as shown."
D02464357,"Escutcheon",1977-01-24,1977-11-22,"Leland George Stone","Amerock Corporation",D0809,D182608;D210819,"The ornamental design for an escutcheon, as shown."
D02464365,"Back plate",1977-02-16,1977-11-22,"Jacqueline Brezney","Unican Security Systems, Ltd.",D0809,D10539;D216077;D226164,"The ornamental design for a back plate, as shown and described."
D02464373,"Combined bottle and display container",1976-03-01,1977-11-22,"Adam J. Grodin","American Cyanamid Company",D0901,D75852;D87342;D112540;D114921;D143386;D152473;D229394,"The ornamental design for a combined bottle and display container,substantially as shown and described."
D02464381,"Packaging container or similar article",1976-02-23,1977-11-22,"Andrew E. Weber","",D0999,D74883;D139433;D196326;D219128,"The ornamental design for a packaging container or similar article,substantially as shown and described."
D02464390,"Packaging container or the like",1975-11-26,1977-11-22,"Elmer C. Lynn;Leonard Slaughter, Jr.","",D0903,D233218;D238148;2767878;3394861,"The ornamental design of a packaging container or the like, substantiallyas shown and described."
D02464403,"Display carton",1975-11-10,1977-11-22,"Wallace E. Hanson","Champion International Corporation",D0903,D230572;D231201;3493103;3517801,"The ornamental design for a display carton, as shown."
D02464411,"Straightedge",1975-10-14,1977-11-22,"Fred Bergendorff","",D1004,205795;2214999;2486748,"The ornamental design for a straightedge, as shown and described."
D02464420,"Portable electronic multimeter",1976-04-29,1977-11-22,"Donald P. Aupperle","Hewlett-Packard Company",D1004,D208193;D212187;D213781;D221381;D229186,"The ornamental design for a portable electronic multimeter, as shown."
D02464438,"Combined fire and smoke alarm",1976-07-14,1977-11-22,"Robert Orman Ernest","Sunbeam Corporation",D1005,D235857;2870434;3890513,"The ornamental design for a combined fire and smoke alarm, as shown anddescribed."
D02464446,"Safety reflector or similar article",1976-06-01,1977-11-22,"John V. Kitrell","",D1006,D206107;2642777,"The new and ornamental design for a safety reflector or similar article,substantially as described and shown."
D02464454,"Back pack signal light unit",1976-04-05,1977-11-22,"Bruce Wayne Inman","",D1006;D0399,D232869;3696334;3720918;3840853,"The ornamental design for a back pack signal light unit, substantially asshown and described."
D02464462,"Vase or similar article",1976-06-22,1977-11-22,"Frank J. Benes","Anchor Hocking Corporation",D1102,D7758;D9679;D156097;D167009;D213835,"The ornamental design for a vase or similar article, substantially as shownand described."
D02464470,"Window greenhouse",1975-11-07,1977-11-22,"William H. Hamilton","",D2502;D3002,D237523;D237730;D242058;3127697;3319378,"The ornamental design for a window greenhouse, as shown and described."
D02464489,"Railroad tie",1976-08-19,1977-11-22,"Albert Edward Rex","General & Railway Supplies Pty. Ltd.",D1203,1121964;1209078,"The ornamental design for a railroad tie, substantially as shown."
D02464497,"Portable ramp for wheelchairs",1976-02-23,1977-11-22,"Alice M. Poe","",D1205,3517791;3756440,"The ornamental design for a portable ramp for wheelchairs, as shown anddescribed."
D02464500,"Vehicle tire",1977-02-03,1977-11-22,"Kazuo Matsuda;Hiroshi Kojima","",D1215,D65013;D229372,"The ornamental design for a vehicle tire substantially as shown anddescribed."
D02464519,"Axle housing",1976-07-22,1977-11-22,"Noah Alvin Shealy","Clark Equipment Company",D1216,,"The ornamental design of an axle housing, substantially as shown."
D02464527,"Bicycle fairing",1976-08-18,1977-11-22,"Moye Harris","",D1211,,"The ornamental design for a bicycle fairing, as shown."
D02464535,"Variable capacitor",1977-03-15,1977-11-22,"William J. Chermak;F. Joseph Kozan;Chander M. Wahi","E. F. Johnson Company",D1302,D216797;3612962,"The ornamental design for a variable capacitor, as shown."
D02464543,"Printed circuit cabinet",1976-09-15,1977-11-22,"John S. Ebner;Sheldon Steinman;Frederick W. Haase","Milgo Electronic Corporation",D1303,D75571;D179132;D225860;3139559;3206646;3495132,"The ornamental design for a printed circuit cabinet, substantially as shownand described."
D02464551,"Tape recorder",1976-06-16,1977-11-22,"Shigeo Takahashi;Kaoru Sumita","Sony Corporation",D1401,D224742;D228506;D230605;D236899,"The ornamental design for a tape recorder, as shown."
D02464560,"Remote operated drain for an oil pan",1976-01-15,1977-11-22,"Hiroyasu Mitsui","",D1501,D51224;1995174;2095696;2509426;2657705;3477459;3598361;3650352;3727638;3871483;3954250,"The ornamental design for a remote operated drain for an oil pan, as shwonand described."
D02464578,"Cultivator tine",1976-02-19,1977-11-22,"Cornelis VAN DER Lely","",D1503,D237525;D237527,"The ornamental design for a cultivator tine, substantially as shown."
D02464586,"Motion picture projector",1975-12-17,1977-11-22,"Anastasios J. Vasilatos;Vincent S. Pasturczak","",D1602,D188920;D201930;D212977;D224057;D228094;3848981,"The ornamental design for a motion picture projector, as shown anddescribed."
D02464594,"Copy finisher",1976-03-30,1977-11-22,"Richard Joseph Olson","Eastman Kodak Company",D1899,D193782;D193993;D209408;D210425;D217463;D221662;D224165;3630607,"The ornamental design for a copy finisher, substantially as shown."
D02464608,"Single lens reflex camera",1976-09-08,1977-11-22,"Zenzaburo Yoshino","",D1601,D186436;D233561,"The ornamental design for a single lens reflex camera, as shown."
D02464616,"Darkroom exposure meter and densitometer",1976-02-06,1977-11-22,"Darwin E. Chapman","",D1605,D235786;2333759;2879691;3074312;3565535;3814523,"The ornamental design for a darkroom exposure meter and densitometer, asshown."
D02464624,"Combined rod and reel",1976-11-22,1977-11-22,"James R. Reichow","St. Croix Corporation",D2205,D156983;3447254;3927486,"The ornamental design for a combined rod and reel, as shown."
D02464632,"Combined sink and faucet",1975-03-31,1977-11-22,"Donald W. Doman","Kohler Co.",D2302,D176447;3600720,"The ornamental design for a combined sink and faucet, as shown anddescribed."
D02464640,"Chimney cap",1976-05-03,1977-11-22,"David O. Brazell","Fireplace Sales, Division of Taylor Construction",D2304,D30284;D203632;494454;674360;2536235;2755730;2830525,"The ornamental design for a chimney cap, substantially as shown anddescribed."
D02464659,"Proportional dialysis unit",1976-05-24,1977-11-22,"James G. Bruni;Richard W. George;Stephen G. Hauser;Charles E. Hodgson;Richard J. Range","Baxter Travenol Laboratories, Inc.",D2401,D216850;D219565;3482574;3489146;3699960,"The ornamental design for a proportional dialysis unit, as shown."
D02464667,"Tray for biological tests",1976-11-15,1977-11-22,"James Albert Attree;Kenneth George Morallee","Lever Brothers Company",D2402,D202700;D219770;D235031;3356462;3725004,"The ornamental design for a tray for biological tests, substantially asshown."
D02464675,"Test tube",1975-11-05,1977-11-22,"Motoji Kurata","Japan Medical Supply Co., Ltd.",D2402,D213292;2240101;2858036;3134725;3705018;3898046,"The ornamental design for test tube, as shown."
D02464683,"Building",1974-09-25,1977-11-22,"Joseph N. DiPasqua","",D2503,3290837;3330083;3866363,"The ornamental design for a building, as shown and described."
D02464691,"Building",1975-08-18,1977-11-22,"James D. Morton;Luke Arnett","",D2503,D209219;D218349,"The ornamental design for a building, as shown."
D02464705,"Building block",1975-12-29,1977-11-22,"Mitsuru Sato","",D2501,D230269;2577170;2858463;3641983;3838535,"The ornamental design for a builidng block, as shown and described."
D02464713,"Lighter",1976-09-27,1977-11-22,"Franz Alban Stutzer;Bernd Figur","Rowenta-Werke GmbH",D2705,D204083;D225675;2482794,"The ornamental design for a lighter, as shown."
D02464721,"Lighter",1976-10-18,1977-11-22,"Franz Alban Stutzer","Rowenta-Werke GmbH",D2705,D173180,"The ornamental design for a lighter, as shown."
D02464730,"Lighter",1976-11-11,1977-11-22,"Franz Alban Stutzer","Rowenta-Werke GmbH",D2705,D204083;D225675;D233944;D235457;2482794,"The ornamental design for a lighter, as shown and described."
D02464748,"Racketball racket frame",1975-10-31,1977-11-22,"Charles L. Segal;Michael G. Anderson;David N. Vincent","Groves-Kelco Sales, Inc.",D2102,D237990,"The ornamental design for racketball racket frame, as shown and described."
D02464756,"Head for a golf putter",1976-02-04,1977-11-22,"O. Jackson Denman","",D2102,D198383;D206540;D218108;1618640,"The ornamental design for the head for a golf putter, as shown anddescribed."
D02464764,"Baseball game bangboard",1976-02-17,1977-11-22,"Donald McGuire","",D2101,2254986;2873969,"The ornamental design for a baseball game bangboard, as shown anddescribed."
D02464772,"Child recreation structure",1976-06-04,1977-11-22,"Robert L. Callecod","Recreation Systems Co.",D2103,3070035;3570848,"The ornamental design for a child recreation structure, as shown."
D02464780,"Toy vehicle",1975-10-31,1977-11-22,"Raymond J. Lohr","",D2101,D183135;D226440;3035854,"The ornamental design for a toy vehicle, as shown and described."
D02464799,"Toy vehicle",1975-12-02,1977-11-22,"Kiyoji Asano","",D2101,D236703,"The original design for a toy vehicle, as shown."
D02464802,"Toy vehicle",1975-12-02,1977-11-22,"Kiyoji Asano","",D2101,D179840;D202637;3738057;3841409,"The original design for a toy vehicle, as shown."
D02464810,"Toy vehicle",1976-01-02,1977-11-22,"Shinroku Nakao","Combi Co., Ltd.",D2101,2186188,"The ornamental design for a toy vehicle, as shown."
D02464829,"Audible toy",1976-01-05,1977-11-22,"Kerstin Margaretha Hagland-Ahrnborg","Brio Toy AB",D2101,D141522;D155940;660684;2757479,"The ornamental design for an audible toy, as shown and described."
D02464837,"Toy restaurant",1976-01-29,1977-11-22,"Michael I. Satten","",D2101,2231065;2393729,"The ornamental design for a toy restaurant, as shown."
D02464845,"Modular travel case",1975-12-30,1977-11-22,"Arnold S. Wasserman","",D0301,D135726;D206925;1575875;2865433;3061057;3696850,"The ornamental design for a modular travel case, substantially as shown anddescribed."
D02464853,"Animal warning sign",1976-05-27,1977-11-22,"Terry L. Bashore","",D2003,D136584;D162046;D215942;1428216;1545391;2002248;2231795;3969837,"The ornamental design for an animal warning sign, substantially as shownand described."
PP0041530,"Chrysanthemum plant",1976-08-23,1977-11-22,"Walter H. Jessel, Jr.;William E. Duffett","Yoder Brothers, Inc.",A01H  500,,"We claim:1. A new and distinct cultivar of Chrysanthemum morifolium, Ramat., plantknown by the cultivar name Joy and particularly characterized as touniqueness by the combined characteristics of flat inflorescence form;anenome inflorescence type; medium yellow ray floret color, tinging lightbronze with cool (below 60.degree. F) finishes; minimal inflorescencecolor oxidation during high temperature periods; uniform 8 week floweringresponse to photoperiodic short-day control; short plant height;semi-upright branching pattern; and diameter across face of inflorescenceup to 95 mm. at maturity."
PP0041548,"African violet plant",1976-10-07,1977-11-22,"Hermann Holtkamp, Sr.","",A01H  500,,"I claim:1. A new and distinct cultivar of African Violet plant referred to by thecultivar name Evelyn and particularly characterized as to uniqueness bythe combined characteristics of violet-blue flower color, relatively largeflower size on strong stems, profuse flowering and long blooming period,foliage color, and fast and vigorous growth."
PP0041556,"Nectarine tree",1976-10-12,1977-11-22,"Chris Floyd Zaiger","",A01H  503,,"The following is claimed:1. A new and distinct variety of nectarine tree, characterized by its dwarfsize and heavy production, bearing medium size, highly colored, clingstonefruit of good eating quality."
PP0041564,"Chrysanthemum plant",1976-11-18,1977-11-22,"Walter H. Jessel, Jr.;William E. Duffett","Yoder Brothers, Inc.",A01H  500,,"We claim:1. A new and distinct cultivar of Chrysanthemum morifolium, Ramat., plantknown by the cultivar name Jamboree and particularly characterized as touniqueness by the combined characteristics of spooned daisy inflorescencetype; flat inflorescence form; orange-bronze to yellow-bronze ray floretcolor; medium green disc floret color at immature, unopened state;diameter across face of inflorescence up to 110 mm. at maturity; uniformnine week photoperiodic flowering response to short day control; mediumplant height; semi-upright branching pattern, and minimal pollendevelopment."
PP0041572,"Mountain ash tree",1976-12-27,1977-11-22,"John Frank Schmidt, Jr.","",A01H  512,,"I claim:1. A new and distinct variety of mountain ash tree substantially as hereinshown and described, characterized particularly as to novelty by a uniquecombination of its rapid rate of growth, a trunk which for a tree of agiven height is straighter than the trunk of a tree of an ordinary varietyof similar height, larger foliage with dark green leaflets, a largeproportion of the surface area of young petioles and newly formed branchesis reddish color, and fall changes which occur approximately 2 to 3 weekslater than similar changes in ordinary varieties."
RE0294764,"Method for fabricating a dielectric filled ferrite toroid for use in",1977-04-08,1977-11-22,"Frank R. Monforte;Giltan M. Argentina","Ampex Corporation",H01P 1100;H01F 4102,2158613;2785038;3007125;3539950;3557266;3768040;3906408,"We claim:1. A method for fabricating a two-piece toroid having a dielectric materialinsert, which two-piece toroid exhibits the hystersis loop characteristicsof a one-piece toroid, comprising the steps of:pressing selected quantities of a magnetic material into a pair of selectedcomplementary blanks of substantially uniform density over their entirecross-sections;machining the pair of blanks to define confronting mating surfacescommensurate with complementary cross-sectional shapes and lengths ofgiven dimensions within selected tolerances;lapping the confronting mating surfaces of the pair of machined shapes to afinish sufficient to maintain the hystersis loop characteristics inherentin a similar one-piece configuration formed of the same magnetic material;machining a single dielectric material insert to outside dimensions whichallow the insert to fit snugly within the complementary pair of magneticmachined shapes along the entire length thereof; andassembling the complementary pair of machined shapes about the dielectricmaterial insert with intimate contact between all surfaces of the insertfacing respective confronting surfaces of the machined shapes, wherein thelapped confronting surfaces of the machined shapes are in such intimatecontact that the hysteresis loop characteristics are similar to those of aone-piece toroid.2. The method of claim 1 wherein the step of lapping provides surfacefinishes of from 1 to 10 microinches as required to maintain thehysteresis loop characteristics of a one-piece toroid of the samematerial.3. The method of claim 2 wherein the step of pressing includes, pressingeach of the complementary blanks to define rough forms of the givencomplementary cross-sectional shapes.4. The method of claim 2 wherein the step of pressing includes, pressingthe complementary blanks in the form of rough slabs of the magneticmaterial; and the step of machining the pair of blanks includes, grindingthe slabs into the cross-sectional shapes of given dimensions.5. The method of claim 2 wherein the magnetic material is a ferritematerial.6. The method of claim 5 further including the step of disposing selectedadhesive on selected portions of the composite toroid to permanentlysecure the complementary pair of magnetic machined shapes in intimatecontact at all surfaces thereof confronting the confined dielectricmaterial insert.7. The method of claim 6 further including the step of beveling thedielectric material along the corners thereof to allow dispositiontherealong of the selected adhesive. .Iadd. 8. A method for fabricating atwo-piece toroid having a dielectric material insert, which two-piecetoroid exhibits the hysteresis loop characteristics of a one-piece toroid,comprising the steps of;machining a pair of complementary blanks of a magnetic material, with asubstantially uniform density over the blanks  cross-sections, to defineconfronting mating surfaces on the blanks commensurate with thecomplementary cross-sectional shapes and lengths of given dimensionswithin selected tolerances;lapping the confronting mating surfaces of the pair of machined shapes toa finish sufficient to maintain the hysteresis loop characteristicsinherent in a similar one-piece configuration formed of the same magneticmaterial;machining a dielectric material to form a single insert of outsidedimensions which allow the insert to fit snugly within the complementarypair of magnetic machined shapes along the entire length thereof; andassembling the complementary pair of machined shapes about the dielectricmaterial insert with intimate contact between all surfaces of the insertfacing respective confronting surfaces of the machined shapes, wherein thelapped confronting surfaces of the machined shapes are in such intimatecontact that the hysteresis loop characteristics are similar to those of aone-piece toroid. .Iaddend. .Iadd. 9. The method of claim 8 wherein thestep of lapping provides surface finishes of the order of 1 to 10microinches commensurate with maintaining the hysteresis loopcharacteristics of a one-piece toroid of the same material. .Iaddend."
